Nom;Modèle;Marque;Capacité;RAM;Connectivité;Couleur;norm;tokens;EAN;PartNumber
+ frais de transport chrono;+ frais de transport chrono;;;;;;+ frais de transport chrono;{'de', '+', 'frais', 'chrono', 'transport'};;
Abonnement forfait convergence;Abonnement forfait convergence;;;;;;abonnement forfait convergence;{'abonnement', 'convergence', 'forfait'};;
Acompte;Acompte;;;;;;acompte;{'acompte'};;
activation de SIM;activation de SIM;;;;;;activation de sim;{'sim', 'de', 'activation'};;
Carte-cadeau;Carte-cadeau;;;;;;carte cadeau;{'cadeau', 'carte'};;
Chargeur Type-C 3A 20W Black fonction Power Delivery et Quick Charge 4.0 BlueStar;Type-C 3A 20W fonction Power Delivery Quick Charge 4.0 BlueStar;;;;;Black;chargeur type c 3a 20w black fonction power delivery et quick charge 4.0 bluestar;{'black', 'charge', '3a', '20w', 'et', 'delivery', 'c', 'fonction', 'power', 'bluestar', 'chargeur', 'quick', 'type', '4.0'};;
Chargeur USB A 2A + Câble USB A/Micro-USB Black 1m BlueStar;A 2A + A/Micro-USB 1m BlueStar;;;;;Black;chargeur usb a 2a + câble usb a micro usb black 1m bluestar;{'black', 'usb', '+', 'micro', 'câble', '2a', 'bluestar', 'chargeur', 'a', '1m'};;
CHRONO 10;CHRONO 10;;;;;;chrono 10;{'chrono', '10'};;
Clavier Sans Fil Bluetooth – AZERTY avec étui support Black ;Clavier Sans Fil Bluetooth – AZERTY avec étui support;;;;;Black;clavier sans fil bluetooth – azerty avec étui support black;{'black', 'fil', 'bluetooth', '–', 'azerty', 'étui', 'avec', 'support', 'sans', 'clavier'};;
CLEAR CASE 1,5 mm GRID for SAMSUNG A54  5G transparent;CLEAR 1 5 mm GRID for A54 transparent;Samsung;;;5G;;clear case 1 5 mm grid for samsung a54 5g transparent;{'a54', '5g', 'for', 'clear', 'case', 'transparent', 'grid', 'mm', 'samsung', '1', '5'};;
CLEAR CASE 2mm IPhone 11 transparent;CLEAR 2mm IPhone 11 transparent;;;;;;clear case 2mm iphone 11 transparent;{'11', 'clear', 'case', 'transparent', 'iphone', '2mm'};;
CLEAR CASE 2mm IPhone 12 / 12 Pro Transparent ;CLEAR 2mm IPhone 12 / 12 Pro Transparent;;;;;;clear case 2mm iphone 12 12 pro transparent;{'12', 'clear', 'case', 'transparent', 'iphone', 'pro', '2mm'};;
CLEAR CASE 2mm IPhone 13 Pro Max Transparent;CLEAR 2mm IPhone 13 Pro Max Transparent;;;;;;clear case 2mm iphone 13 pro max transparent;{'clear', 'case', 'transparent', 'max', 'iphone', '13', 'pro', '2mm'};;
CLEAR CASE 2mm IPhone 13 Transparent;CLEAR 2mm IPhone 13 Transparent;;;;;;clear case 2mm iphone 13 transparent;{'clear', 'case', 'transparent', 'iphone', '13', '2mm'};;
CLEAR CASE 2mm IPhone 14 Pro Max Transparent;CLEAR 2mm IPhone 14 Pro Max Transparent;;;;;;clear case 2mm iphone 14 pro max transparent;{'clear', 'case', 'transparent', 'max', 'iphone', 'pro', '14', '2mm'};;
CLEAR CASE 2mm IPhone 14 Transparent;CLEAR 2mm IPhone 14 Transparent;;;;;;clear case 2mm iphone 14 transparent;{'clear', 'case', 'transparent', 'iphone', '14', '2mm'};;
CLEAR CASE 2mm IPhone 15 Pro Max Transparent;CLEAR 2mm IPhone 15 Pro Max Transparent;;;;;;clear case 2mm iphone 15 pro max transparent;{'clear', 'case', 'transparent', 'max', 'iphone', 'pro', '15', '2mm'};;
CLEAR CASE 2mm IPhone 15 Pro Transparent;CLEAR 2mm IPhone 15 Pro Transparent;;;;;;clear case 2mm iphone 15 pro transparent;{'clear', 'case', 'transparent', 'iphone', 'pro', '15', '2mm'};;
CLEAR CASE 2mm IPhone 15 Transparent;CLEAR 2mm IPhone 15 Transparent;;;;;;clear case 2mm iphone 15 transparent;{'clear', 'case', 'transparent', 'iphone', '15', '2mm'};;
CLEAR CASE 2mm IPhone 16 Pro Transparent;CLEAR 2mm IPhone 16 Pro Transparent;;;;;;clear case 2mm iphone 16 pro transparent;{'16', 'clear', 'case', 'transparent', 'iphone', 'pro', '2mm'};;
CLEAR CASE 2mm IPhone 16 Transparent;CLEAR 2mm IPhone 16 Transparent;;;;;;clear case 2mm iphone 16 transparent;{'16', 'clear', 'case', 'transparent', 'iphone', '2mm'};;
Coque arrière + rabat Black pour Ipad 10.2;Coque arrière + rabat Ipad 10.2;;;;;Black;coque arrière + rabat black pour ipad 10.2;{'black', 'rabat', 'pour', '+', '10.2', 'ipad', 'coque', 'arrière'};;
Coque arrière + rabat Navy pour Ipad 10.2 ;Coque arrière + rabat Ipad 10.2;;;;;Navy;coque arrière + rabat navy pour ipad 10.2;{'rabat', 'pour', '+', '10.2', 'ipad', 'navy', 'coque', 'arrière'};;
Coque Cristal Ipad 10.2 2019/2020/2021;Coque Cristal Ipad 10.2 2019/2020/2021;;;;;;coque cristal ipad 10.2 2019 2020 2021;{'2019', 'cristal', '10.2', 'ipad', '2021', 'coque', '2020'};;
