id;name;id;insert into internal_products (odoo_id,product_id);insert into products (id,description)
__export__.product_template_24216_b5a0552d;Apple iPad 10.9 11.Gen (2025) 512GB WiFi Silver;93;"('__export__.product_template_24216_b5a0552d',93);";"(93,'Apple iPad 10.9 11.Gen (2025) 512GB WiFi Silver');"
__export__.product_template_23070_98cfc1ae;"Apple iPad 11"" 2025 128Gb Blue";94;"('__export__.product_template_23070_98cfc1ae',94);";"(94,'Apple iPad 11"" 2025 128Gb Blue');"
__export__.product_template_24361_d8c7f3a4;"Apple iPad 11"" 2025 128Gb Pink";95;"('__export__.product_template_24361_d8c7f3a4',95);";"(95,'Apple iPad 11"" 2025 128Gb Pink');"
__export__.product_template_23069_347e1a6c;"Apple iPad 11"" 2025 128Gb Silver";96;"('__export__.product_template_23069_347e1a6c',96);";"(96,'Apple iPad 11"" 2025 128Gb Silver');"
__export__.product_template_24891_dadade12;"Apple iPad 11"" 2025 128Gb Yellow";97;"('__export__.product_template_24891_dadade12',97);";"(97,'Apple iPad 11"" 2025 128Gb Yellow');"
__export__.product_template_23162_501ee447;Apple iPad Air (2025) 11 M3 128GB Cellular Space Grey;98;"('__export__.product_template_23162_501ee447',98);";"(98,'Apple iPad Air (2025) 11 M3 128GB Cellular Space Grey');"
__export__.product_template_23163_56f2ae08;Apple iPad Air (2025) 11 M3 128GB WiFi Blue;99;"('__export__.product_template_23163_56f2ae08',99);";"(99,'Apple iPad Air (2025) 11 M3 128GB WiFi Blue');"
__export__.product_template_22668_a79a2b3d;Apple iPad Air (2025) 11 M3 128GB WiFi Purple;100;"('__export__.product_template_22668_a79a2b3d',100);";"(100,'Apple iPad Air (2025) 11 M3 128GB WiFi Purple');"
__export__.product_template_16106_cea6d5e1;Apple iPad Air (2025) 11 M3 128GB WiFi Space Grey;101;"('__export__.product_template_16106_cea6d5e1',101);";"(101,'Apple iPad Air (2025) 11 M3 128GB WiFi Space Grey');"
__export__.product_template_22669_960555cb;Apple iPad Air (2025) 11 M3 128GB WiFi Starlight;102;"('__export__.product_template_22669_960555cb',102);";"(102,'Apple iPad Air (2025) 11 M3 128GB WiFi Starlight');"
__export__.product_template_23164_927e900a;Apple iPad Air (2025) 11 M3 256GB WiFi Space Grey;103;"('__export__.product_template_23164_927e900a',103);";"(103,'Apple iPad Air (2025) 11 M3 256GB WiFi Space Grey');"
__export__.product_template_23165_b21293f0;Apple iPad Air (2025) 13 M3 128GB Cellular Space Grey;104;"('__export__.product_template_23165_b21293f0',104);";"(104,'Apple iPad Air (2025) 13 M3 128GB Cellular Space Grey');"
__export__.product_template_23167_c61aa9fe;Apple iPad Air (2025) 13 M3 128GB WiFi Starlight;105;"('__export__.product_template_23167_c61aa9fe',105);";"(105,'Apple iPad Air (2025) 13 M3 128GB WiFi Starlight');"
__export__.product_template_24601_9cf739be;Apple iPad Air 11 6 Gen (2024) M2 1TB Cellular Blue;106;"('__export__.product_template_24601_9cf739be',106);";"(106,'Apple iPad Air 11 6 Gen (2024) M2 1TB Cellular Blue');"
__export__.product_template_24602_0b12cd2a;Apple iPad Air 11 7 Gen (2025) M3 128GB WiFi Blue;107;"('__export__.product_template_24602_0b12cd2a',107);";"(107,'Apple iPad Air 11 7 Gen (2025) M3 128GB WiFi Blue');"
__export__.product_template_24603_481bc640;Apple iPad Air 11 7 Gen (2025) M3 128GB WiFi Purple;108;"('__export__.product_template_24603_481bc640',108);";"(108,'Apple iPad Air 11 7 Gen (2025) M3 128GB WiFi Purple');"
__export__.product_template_24604_f5ce2c1a;Apple iPad Air 11 7 Gen (2025) M3 128GB WiFi Starlight;109;"('__export__.product_template_24604_f5ce2c1a',109);";"(109,'Apple iPad Air 11 7 Gen (2025) M3 128GB WiFi Starlight');"
__export__.product_template_23529_c13f3b61;Apple iPad Air 6 (2024) 11 M2 128GB Cellular Blue;110;"('__export__.product_template_23529_c13f3b61',110);";"(110,'Apple iPad Air 6 (2024) 11 M2 128GB Cellular Blue');"
__export__.product_template_23530_72b5709f;Apple iPad Air 6 (2024) 11 M2 128GB Cellular Purple;111;"('__export__.product_template_23530_72b5709f',111);";"(111,'Apple iPad Air 6 (2024) 11 M2 128GB Cellular Purple');"
__export__.product_template_23943_8910aa3f;Apple iPad Air 6 (2024) 11 M2 128GB WiFi Blue;112;"('__export__.product_template_23943_8910aa3f',112);";"(112,'Apple iPad Air 6 (2024) 11 M2 128GB WiFi Blue');"
__export__.product_template_23944_7ceb4596;Apple iPad Air 6 (2024) 11 M2 128GB WiFi Purple;113;"('__export__.product_template_23944_7ceb4596',113);";"(113,'Apple iPad Air 6 (2024) 11 M2 128GB WiFi Purple');"
__export__.product_template_23945_c597ddc1;Apple iPad Air 6 (2024) 11 M2 128GB WiFi Starlight;114;"('__export__.product_template_23945_c597ddc1',114);";"(114,'Apple iPad Air 6 (2024) 11 M2 128GB WiFi Starlight');"
__export__.product_template_23946_cfe48a69;Apple iPad Air 6 (2024) 11 M2 256GB WiFi Blue;115;"('__export__.product_template_23946_cfe48a69',115);";"(115,'Apple iPad Air 6 (2024) 11 M2 256GB WiFi Blue');"
__export__.product_template_23947_d3151b4a;Apple iPad Air 6 (2024) 11 M2 256GB WiFi Purple;116;"('__export__.product_template_23947_d3151b4a',116);";"(116,'Apple iPad Air 6 (2024) 11 M2 256GB WiFi Purple');"
__export__.product_template_24605_f23a0c5f;Apple iPad Air 6 (2024) 11 M2 256GB WiFi Space Grey;117;"('__export__.product_template_24605_f23a0c5f',117);";"(117,'Apple iPad Air 6 (2024) 11 M2 256GB WiFi Space Grey');"
__export__.product_template_23948_103fb3e6;Apple iPad Air 6 (2024) 11 M2 256GB WiFi Starlight;118;"('__export__.product_template_23948_103fb3e6',118);";"(118,'Apple iPad Air 6 (2024) 11 M2 256GB WiFi Starlight');"
